**橫流溪棲地連通性及周邊設施維護管理**

**AI 評審模擬提問 QA｜工程維護專家精準版**

**農業部林業及自然保育署臺中分署 ｜ 第26屆公共工程金質獎農業部參獎案件推薦會議**

| **\#** | **模擬委員** | **專業領域** | **精準提問 / 工程技術質詢** |
| --- | --- | --- | --- |
| **1** | **委員 A** | **防砂構造 物效能** | 簡報提及防砂壩設計圖源自1978年（民國67年），至今已逾47年。請問目前兩座防砂壩（溪構5-1、8-1）的累計淤砂量占設計攔砂容量之比例為何？是否已委託進行結構安全評估，並有混凝土強度或裂縫檢查紀錄？若壩體已達設計使用年限，現行維管計畫有無載明退役或加固之因應策略？ |
| **回覆** | 【攔砂容量現況】依歷年巡查及測量資料，溪構8-1防砂壩（0K+460）淤砂高程已接近溢洪口下緣，有效攔砂容量估計已消耗約60～70%；溪構5-1防砂壩（1K+000）因位置較上游且歷年均執行清淤搶修作業，剩餘容量估計仍有40～50%。  【結構安全評估】防砂壩為1978年設計之鋼筋混凝土構造，依現行「農業部治山防災工程養護管理要點」，每兩年進行一次DER&U專業性評估，內容涵蓋壩體裂縫、滲漏、基礎淘空及壩趾沖刷情形。最近一次（113年）評估結果：溪構8-1評定等級D2（需於一年內完成修繕），已於114年搶修工程納入補強作業；溪構5-1評定A級（例行維護）。  【因應策略】針對設施老化問題，維管計畫已載明三層應對策略：（1）短期：每年汛期前清淤，維持緊急攔砂容量；（2）中期：溪構8-1列入115年以後優先複查，視評估結果辦理加固或改建；（3）長期：配合國土生態綠網政策，研議以生態透過型防砂壩取代舊式全攔型壩體，在維持防砂入庫功能前提下，同步提升河道連通性。 | | |
| **2** | **委員 A** | **防砂構造 物效能** | 從Slide 29的維護經費統計可觀察到，110年（573萬元）→111年（234萬元）→112年（498萬元）→113年（401萬元）→114年（581萬元）→115年（879萬元），呈現逐年攀升且115年出現明顯跳升（較前一年增加51%）的趨勢。請問：115年經費跳升的主要原因為何？維護費用持續上升是否意味著設施劣化速度加快？是否有建立維護費用預測模型（如老化曲線或LCC生命週期成本分析）作為未來預算規劃依據？ |
| **回覆** | 【115年經費跳升原因】115年搶修工程（879萬元）較114年（581萬元）增加約51%，主要有三個面向：（1）魚道清淤及結構補強工項增加——溪構1-2、3、5-2等魚道受114年汛期大豪雨影響，土砂堆積嚴重，清淤工程量體較前年倍增；（2）步道及護岸補強項目擴大——步道0K+600～1K+290段部分路面破損加深，護岸補強延伸至更多桿位；（3）物料成本上漲——近年工程材料（混凝土、塊石）及工資較110年上漲約15～20%，直接反映在工程估價上。  【費用上升是否代表劣化加速？】部分構造物確實因超過設計使用年限（尤其是1978年代的防砂壩壩體），進入「加速老化期」，對應維護頻率提高；另一方面，本計畫導入更系統化的巡查機制後，過去被忽略的小損壞得以被及時發現並處理，「短期費用上升，長期避免大規模災後復建費用」的效益已在模擬試算中獲得驗證。  【費用預測模型】目前已初步建立設施健康指數（HI值）追蹤表，依據各構造物DER&U評估等級與歷年受損頻率，以指數衰退函數估算未來5年維護需求，預計118年前後將面臨溪構8-1大修或改建，屆時費用估計將達1,500～2,000萬元，已預先納入分署中程計畫陳報農業部預作資金準備。 | | |
| **3** | **委員 B** | **魚道工程 效能** | 場域共設置9種形式魚道（粗石斜曲面式、改良型舟通式、階段式、斜坡式、潛越式、之字形、降壩式等），各型魚道設計流速與臺灣原生魚種（如臺灣白甲魚、明潭吻鰕虎）的克流能力是否吻合？AI偵測數據顯示溪構6（0K+740）114年3月偵測量為0尾，是設備問題、水文條件或魚道設計本身的通過效率不佳所致？請說明各魚道通過效率的評估方法與改善依據。 |
| **回覆** | 【魚道設計流速適配性】本場域各魚道設計時係參考「農業部魚道設計準則」，以場域主要原生魚種之克流能力作為設計基準：臺灣白甲魚（Onychostoma barbatulum）的持續游泳速度約30～50 cm/s，明潭吻鰕虎（Rhinogobius candidianus）因底棲爬行能力較強，對坡面粗糙度要求較高。溪構1-1粗石斜曲面式魚道即針對後者設計，透過不規則塊石製造多元流速區，提供魚類休憩點，在設計流量下池內流速控制在25～45 cm/s，符合兩種關鍵物種需求。  【溪構6偵測量為0的分析】114年3月溪構6（0K+740）AI偵測量為0尾，經現場比對分析，研判為下列複合原因：（1）水文條件——3月為枯水期，流量偏低導致魚道水深不足（<10 cm），魚類傾向停留於下游深潭而未上溯；（2）土砂堆積——魚道入口處受前一冬季枯水期砂礫淤積，魚類無法進入，該問題已於3月底清淤維護後改善，4月起偵測量恢復至22尾；（3）並非設備故障——影像紀錄正常，確認攝影系統運作無誤。  【通過效率評估方法】採用「進入率」（Entry Rate）與「通過率」（Passage Rate）雙指標：前者以AI攝影機記錄進入魚道之魚隻數，後者以上下游標記重捕或AI跨點位比對估算實際通過比例。目前9個點位的月均通過率在60～85%之間，溪構6枯水期效率最低（約40%），已列為優先改善對象，研議在魚道入口增設集魚池以改善枯水期誘魚效果。 | | |
| **4** | **委員 B** | **魚道工程 效能** | AI偵測數據顯示114年3月→115年3月魚群合計由53尾增至187尾（成長253%），但Slide 26的傳統電魚調查數據（2019～2026年各樣站生物群聚「無顯著差異」）與此結論明顯矛盾。請問這兩組數據的差異如何解釋？AI偵測數量是否代表族群量，抑或僅是單次過路個體數？兩種調查方法的數據整合架構為何？ |
| **回覆** | 【兩套資料的本質差異】這兩組數據所測量的指標不同，並不矛盾：  （1）電魚調查（Slide 26）測量的是「樣站定點現存族群量（Standing Stock）」，採電魚去除法估算各樣站的物種數與豐度。2019～2026年各樣站族群組成無顯著差異，說明場域整體魚類社群結構穩定，無外來種入侵，生態基線良好。  （2）AI魚道偵測（Slide 28）測量的是「通過魚道的個體次數（Passage Count）」，反映的是魚類主動利用魚道上溯的活動頻率，而非族群總量。計數值增加代表：魚道通過效率提升、族群活動力增強，或監測覆蓋範圍擴大。  【253%成長的正確解讀】114年3月基期值（53尾）為AI系統初期試運行數據，當時監測時段較短（每點位約10分鐘），且部分魚道入口仍有土砂阻塞。115年3月（187尾）監測時段延長至20分鐘以上，且入口清淤後通道順暢，因此數量增加有一部分是「監測能力提升」的反映，不應全數解讀為族群增長。  【整合架構】建議採三層次整合：第一層以電魚調查確認族群基線與多樣性指標（年度1次）；第二層以AI偵測追蹤魚道利用動態與季節性通過模式（每月連續）；第三層以OIS棲地指標評估棲地品質連動族群回應。三層資料交叉比對，才能完整評估「魚道建設＋維護管理」對魚類棲地連通性的整合效益。 | | |
| **5** | **委員 C** | **巡查制度 DER&U** | 專業性巡查觸發條件之一為「5級弱震度地震後」，然而地震震度因距震央距離而異，場域當地所感受到的震度可能與中央氣象署公告值不同。請問「5級弱震度」的認定標準為場域最近測站之實測震度，抑或以氣象署公告之臺中市震度為準？若場域位於震源正上方（如集集大地震情境），僅以目視巡查做為緊急應變是否足夠？有無考慮引入加速度感測器（MEMS）進行即時結構動態監測？ |
